"Full commodity code","Formatted commodity code","PLS","Duty","Notes","Description"
"2912410000","2912 41","80","0.00%","","Vanillin (4-hydroxy-3-methoxybenzaldehyde)"
"2912420000","2912 42","80","0.00%","","Ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)"
"2912490000","2912 49","80","0.00%","","Other"
"2912500000","2912 50","80","0.00%","","Cyclic polymers of aldehydes"
"2912600000","2912 60","80","0.00%","","Paraformaldehyde"
"2913000000","2913","80","0.00%","","Halogenated; sulphonated; nitrated or nitrosated derivatives of products of heading 2912"
"2914000000","","10","","","VI. KETONE-FUNCTION COMPOUNDS AND QUINONE-FUNCTION COMPOUNDS"
"2914000000","2914","80","","","Ketones and quinones; whether or not with other oxygen function; and their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2914110000","","10","","","Acyclic ketones without other oxygen function"
"2914110000","2914 11","80","0.00%","","Acetone"
"2914120000","2914 12","80","0.00%","","Butanone (methyl ethyl ketone)"
"2914130000","2914 13","80","0.00%","","4-Methylpentan-2-one (methyl isobutyl ketone)"
"2914190000","2914 19","80","","","Other"
"2914191000","2914 19 10","80","0.00%","","5-Methylhexan-2-one"
"2914199000","2914 19 90","80","0.00%","","Other"
"2914220000","","10","","","Cyclanic; cyclenic or cycloterpenic ketones without other oxygen function"
"2914220000","2914 22","80","0.00%","","Cyclohexanone and methylcyclohexanones"
"2914230000","2914 23","80","0.00%","","Ionones and methylionones"
"2914290000","2914 29","80","0.00%","","Other"
"2914310000","","10","","","Aromatic ketones without other oxygen function"
"2914310000","2914 31","80","0.00%","","Phenylacetone (phenylpropan-2-one)"
"2914390000","2914 39","80","0.00%","","Other"
"2914400000","2914 40","80","","","Ketone-alcohols and ketone-aldehydes"
"2914401000","2914 40 10","80","0.00%","","4-Hydroxy-4-methylpentan-2-one (diacetone alcohol)"
"2914409000","2914 40 90","80","0.00%","","Other"
"2914500000","2914 50","80","0.00%","","Ketone-phenols and ketones with other oxygen function"
"2914610000","","10","","","Quinones"
"2914610000","2914 61","80","0.00%","","Anthraquinone"
"2914620000","2914 62","80","0.00%","","Coenzyme Q10 (ubidecarenone (INN))"
"2914690000","2914 69","80","","","Other"
"2914691000","2914 69 10","80","0.00%","","1;4-Naphthoquinone"
"2914698000","2914 69 80","80","0.00%","","Other"
"2914710000","","10","","","Halogenated; sulphonated; nitrated or nitrosated derivatives"
"2914710000","2914 71","80","0.00%","","Chlordecone (ISO)"
"2914790000","2914 79","80","0.00%","","Other"
"2915000000","","10","","","VII. CARBOXYLIC ACIDS AND THEIR ANHYDRIDES; HALIDES; PEROXIDES AND PEROXYACIDS AND THEIR HALOGENATED; SULPHONATED; NITRATED OR NITROSATED DERIVATIVES"
"2915000000","2915","80","","","Saturated acyclic monocarboxylic acids and their anhydrides; halides; peroxides and peroxyacids; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2915110000","","10","","","Formic acid; its salts and esters"
"2915110000","2915 11","80","0.00%","","Formic acid"
"2915120000","2915 12","80","0.00%","","Salts of formic acid"
"2915130000","2915 13","80","0.00%","","Esters of formic acid"
"2915210000","","10","","","Acetic acid and its salts; acetic anhydride"
"2915210000","2915 21","80","0.00%","","Acetic acid"
"2915240000","2915 24","80","0.00%","","Acetic anhydride"
"2915290000","2915 29","80","0.00%","","Other"
"2915310000","","10","","","Esters of acetic acid"
"2915310000","2915 31","80","0.00%","","Ethyl acetate"
"2915320000","2915 32","80","0.00%","","Vinyl acetate"
"2915330000","2915 33","80","0.00%","","n-Butyl acetate"
"2915360000","2915 36","80","0.00%","","Dinoseb (ISO) acetate"
"2915390000","2915 39","80","0.00%","","Other"
"2915400000","2915 40","80","0.00%","","Mono-; di- or trichloroacetic acids; their salts and esters"
"2915500000","2915 50","80","0.00%","","Propionic acid; its salts and esters"
"2915600000","2915 60","80","","","Butanoic acids; pentanoic acids; their salts and esters"
"2915601100","","10","","","Butanoic acids and their salts and esters"
"2915601100","2915 60 11","80","0.00%","","1-Isopropyl-2;2-dimethyltrimethylene diisobutyrate"
"2915601900","2915 60 19","80","0.00%","","Other"
"2915609000","2915 60 90","80","0.00%","","Pentanoic acids and their salts and esters"
"2915700000","2915 70","80","","","Palmitic acid; stearic acid; their salts and esters"
"2915704000","2915 70 40","80","0.00%","","Palmitic acid and its salts and esters"
"2915705000","2915 70 50","80","0.00%","","Stearic acid and its salts and esters"
"2915900000","2915 90","80","","","Other"
"2915903000","2915 90 30","80","0.00%","","Lauric acid and its salts and esters"
"2915907000","2915 90 70","80","0.00%","","Other"
"2916000000","2916","80","","","Unsaturated acyclic monocarboxylic acids; cyclic monocarboxylic acids; their anhydrides; halides; peroxides and peroxyacids; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2916110000","","10","","","Unsaturated acyclic monocarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2916110000","2916 11","80","0.00%","","Acrylic acid and its salts"
"2916120000","2916 12","80","0.00%","","Esters of acrylic acid"
"2916130000","2916 13","80","0.00%","","Methacrylic acid and its salts"
"2916140000","2916 14","80","0.00%","","Esters of methacrylic acid"
"2916150000","2916 15","80","0.00%","","Oleic; linoleic or linolenic acids; their salts and esters"
"2916160000","2916 16","80","0.00%","","Binapacryl (ISO)"
"2916190000","2916 19","80","","","Other"
"2916191000","2916 19 10","80","0.00%","","Undecenoic acids and their salts and esters"
"2916194000","2916 19 40","80","0.00%","","Crotonic acid"
"2916199500","2916 19 95","80","0.00%","","Other"
"2916200000","2916 20","80","0.00%","","Cyclanic; cyclenic or cycloterpenic monocarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2916310000","","10","","","Aromatic monocarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2916310000","2916 31","80","0.00%","","Benzoic acid; its salts and esters"
"2916320000","2916 32","80","0.00%","","Benzoyl peroxide and benzoyl chloride"
"2916340000","2916 34","80","0.00%","","Phenylacetic acid and its salts"
"2916390000","2916 39","80","","","Other"
"2916391000","2916 39 10","80","0.00%","","Esters of phenylacetic acid"
"2916399000","2916 39 90","80","0.00%","","Other"
"2917000000","2917","80","","","Polycarboxylic acids; their anhydrides; halides; peroxides and peroxyacids; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2917110000","","10","","","Acyclic polycarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2917110000","2917 11","80","0.00%","","Oxalic acid; its salts and esters"
"2917120000","2917 12","80","0.00%","","Adipic acid; its salts and esters"
"2917130000","2917 13","80","","","Azelaic acid; sebacic acid; their salts and esters"
"2917131000","2917 13 10","80","0.00%","","Sebacic acid"
"2917139000","2917 13 90","80","0.00%","","Other"
"2917140000","2917 14","80","0.00%","","Maleic anhydride"
"2917190000","2917 19","80","","","Other"
"2917191000","2917 19 10","80","0.00%","","Malonic acid; its salts and esters"
"2917192000","2917 19 20","80","0.00%","","Ethane-1;2-dicarboxylic acid or butanedioic acid (succinic acid) having a bio-based carbon content of 100% by mass"
"2917198000","2917 19 80","80","0.00%","","Other"
"2917200000","2917 20","80","0.00%","","Cyclanic; cyclenic or cycloterpenic polycarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2917320000","","10","","","Aromatic polycarboxylic acids; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2917320000","2917 32","80","0.00%","","Dioctyl orthophthalates"
"2917330000","2917 33","80","0.00%","","Dinonyl or didecyl orthophthalates"
"2917340000","2917 34","80","0.00%","","Other esters of orthophthalic acid"
"2917350000","2917 35","80","0.00%","","Phthalic anhydride"
"2917360000","2917 36","80","0.00%","","Terephthalic acid and its salts"
"2917370000","2917 37","80","0.00%","","Dimethyl terephthalate"
"2917390000","2917 39","80","","","Other"
"2917392000","2917 39 20","80","0.00%","","Ester or anhydride of tetrabromophthalic acid; benzene-1;2;4-tricarboxylic acid; isophthaloyl dichloride; containing by weight 0;8% or less of terephthaloyl dichloride; naphthalene-1;4;5;8-tetracarboxylic acid; tetrachlorophthalic anhydride; sodium 3;5-bis(methoxycarbonyl)benzenesulphonate"
"2917399500","2917 39 95","80","0.00%","","Other"
"2918000000","2918","80","","","Carboxylic acids with additional oxygen function and their anhydrides; halides; peroxides and peroxyacids; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2918110000","","10","","","Carboxylic acids with alcohol function but without other oxygen function; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2918110000","2918 11","80","0.00%","","Lactic acid; its salts and esters"
"2918120000","2918 12","80","0.00%","","Tartaric acid"
"2918130000","2918 13","80","0.00%","","Salts and esters of tartaric acid"
"2918140000","2918 14","80","0.00%","","Citric acid"
"2918150000","2918 15","80","0.00%","","Salts and esters of citric acid"
"2918160000","2918 16","80","0.00%","","Gluconic acid; its salts and esters"
"2918170000","2918 17","80","0.00%","","2;2-Diphenyl-2-hydroxyacetic acid (benzilic acid)"
"2918180000","2918 18","80","0.00%","","Chlorobenzilate (ISO)"
"2918190000","2918 19","80","","","Other"
"2918193000","2918 19 30","80","0.00%","","Cholic acid; 3-α;12-α-dihydroxy-5-β-cholan-24-oic acid (deoxycholic acid); their salts and esters"
"2918194000","2918 19 40","80","0.00%","","2;2-Bis(hydroxymethyl)propionic acid"
"2918199800","2918 19 98","80","0.00%","","Other"
"2918210000","","10","","","Carboxylic acids with phenol function but without other oxygen function; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2918210000","2918 21","80","0.00%","","Salicylic acid and its salts"
"2918220000","2918 22","80","0.00%","","o-Acetylsalicylic acid; its salts and esters"
"2918230000","2918 23","80","0.00%","","Other esters of salicylic acid and their salts"
"2918290000","2918 29","80","0.00%","","Other"
"2918300000","2918 30","80","0.00%","","Carboxylic acids with aldehyde or ketone function but without other oxygen function; their anhydrides; halides; peroxides; peroxyacids and their derivatives"
"2918910000","","10","","","Other"
"2918910000","2918 91","80","0.00%","","2;4;5-T (ISO) (2;4;5-trichlorophenoxyacetic acid); its salts and esters"
"2918990000","2918 99","80","","","Other"
"2918994000","2918 99 40","80","0.00%","","2;6-Dimethoxybenzoic acid; dicamba (ISO); sodium phenoxyacetate"
"2918999000","2918 99 90","80","0.00%","","Other"
"2919000000","","10","","","VIII. ESTERS OF INORGANIC ACIDS OF NON-METALS AND THEIR SALTS; AND THEIR HALOGENATED; SULPHONATED; NITRATED OR NITROSATED DERIVATIVES"
"2919000000","2919","80","","","Phosphoric esters and their salts; including lactophosphates; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2919100000","2919 10","80","0.00%","","Tris(2;3-dibromopropyl) phosphate"
"2919900000","2919 90","80","0.00%","","Other"
"2920000000","2920","80","","","Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2920110000","","10","","","Thiophosphoric esters (phosphorothioates) and their salts; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2920110000","2920 11","80","0.00%","","Parathion (ISO) and parathion-methyl (ISO) (methyl-parathion)"
"2920190000","2920 19","80","0.00%","","Other"
"2920210000","","10","","","Phosphite esters and their salts; their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2920210000","2920 21","80","0.00%","","Dimethyl phosphite"
"2920220000","2920 22","80","0.00%","","Diethyl phosphite"
"2920230000","2920 23","80","0.00%","","Trimethyl phosphite"
"2920240000","2920 24","80","0.00%","","Triethyl phosphite"
"2920290000","2920 29","80","0.00%","","Other"
"2920300000","2920 30","80","0.00%","","Endosulfan (ISO)"
"2920900000","2920 90","80","","","Other"
"2920901000","2920 90 10","80","0.00%","","Sulphuric esters and carbonic esters and their salts; and their halogenated; sulphonated; nitrated or nitrosated derivatives"
"2920907000","2920 90 70","80","0.00%","","Other"
"2921000000","","10","","","IX. NITROGEN-FUNCTION COMPOUNDS"
"2921000000","2921","80","","","Amine-function compounds"
"2921110000","","10","","","Acyclic monoamines and their derivatives; salts thereof"
"2921110000","2921 11","80","0.00%","","Methylamine; di- or trimethylamine and their salts"
"2921120000","2921 12","80","0.00%","","2-(N;N-Dimethylamino)ethylchloride hydrochloride"
"2921130000","2921 13","80","0.00%","","2-(N;N-Diethylamino)ethylchloride hydrochloride"
"2921140000","2921 14","80","0.00%","","2-(N;N-Diisopropylamino)ethylchloride hydrochloride"
"2921190000","2921 19","80","","","Other"
"2921194000","2921 19 40","80","0.00%","","1;1;3;3-Tetramethylbutylamine"
"2921195000","2921 19 50","80","0.00%","","Diethylamine and its salts"
"2921199900","2921 19 99","80","0.00%","","Other"
"2921210000","","10","","","Acyclic polyamines and their derivatives; salts thereof"
"2921210000","2921 21","80","0.00%","","Ethylenediamine and its salts"
"2921220000","2921 22","80","0.00%","","Hexamethylenediamine and its salts"
"2921290000","2921 29","80","0.00%","","Other"
"2921300000","2921 30","80","","","Cyclanic; cyclenic or cycloterpenic mono- or polyamines; and their derivatives; salts thereof"
"2921301000","2921 30 10","80","0.00%","","Cyclohexylamine and cyclohexyldimethylamine; and their salts"
"2921309100","2921 30 91","80","0.00%","","Cyclohex-1;3-ylenediamine (1;3-diaminocyclohexane)"
"2921309900","2921 30 99","80","0.00%","","Other"
"2921410000","","10","","","Aromatic monoamines and their derivatives; salts thereof"
"2921410000","2921 41","80","0.00%","","Aniline and its salts"
"2921420000","2921 42","80","0.00%","","Aniline derivatives and their salts"
"2921430000","2921 43","80","0.00%","","Toluidines and their derivatives; salts thereof"
"2921440000","2921 44","80","0.00%","","Diphenylamine and its derivatives; salts thereof"
"2921450000","2921 45","80","0.00%","","1-Naphthylamine (α-naphthylamine); 2-naphthylamine (β-naphthylamine) and their derivatives; salts thereof"
"2921460000","2921 46","80","0.00%","","Amfetamine (INN); benzfetamine (INN); dexamfetamine (INN); etilamfetamine (INN); fencamfamin (INN); lefetamine (INN); levamfetamine (INN); mefenorex (INN) and phentermine (INN); salts thereof"
"2921490000","2921 49","80","0.00%","","Other"
"2921510000","","10","","","Aromatic polyamines and their derivatives; salts thereof"
"2921510000","2921 51","80","","","o-; m-; p-Phenylenediamine; diaminotoluenes; and their derivatives; salts thereof"
"2921511100","","10","","","o-; m-; p-Phenylenediamine; diaminotoluenes and their halogenated; sulphonated; nitrated and nitrosated derivatives; salts thereof"
"2921511100","2921 51 11","80","0.00%","","m-Phenylenediamine; of a purity by weight of 99% or more and containing:; - 1% or less by weight of water;; - 200 mg/kg or less of o-phenylenediamine and; - 450 mg/kg or less of p-phenylenediamine"
"2921511900","2921 51 19","80","0.00%","","Other"
"2921519000","2921 51 90","80","0.00%","","Other"
"2921590000","2921 59","80","","","Other"
"2921595000","2921 59 50","80","0.00%","","m-Phenylenebis(methylamine); 2;2′-dichloro-4;4′-methylenedianiline; 4;4′-bi-o-toluidine; 1;8-naphthylenediamine"
"2921599000","2921 59 90","80","0.00%","","Other"
"2922000000","2922","80","","","Oxygen-function amino-compounds"
"2922110000","","10","","","Amino-alcohols; other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof"
"2922110000","2922 11","80","0.00%","","Monoethanolamine and its salts"
"2922120000","2922 12","80","0.00%","","Diethanolamine and its salts"
"2922140000","2922 14","80","0.00%","","Dextropropoxyphene (INN) and its salts"
"2922150000","2922 15","80","0.00%","","Triethanolamine"
"2922160000","2922 16","80","0.00%","","Diethanolammonium perfluorooctane sulphonate"
"2922170000","2922 17","80","0.00%","","Methyldiethanolamine and ethyldiethanolamine"
"2922180000","2922 18","80","0.00%","","2-(N;N-Diisopropylamino)ethanol"
"2922190000","2922 19","80","0.00%","","Other"
"2922210000","","10","","","Amino-naphthols and other amino-phenols; other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof"
"2922210000","2922 21","80","0.00%","","Aminohydroxynaphthalenesulphonic acids and their salts"
"2922290000","2922 29","80","0.00%","","Other"
"2922310000","","10","","","Amino-aldehydes; amino-ketones and amino-quinones; other than those containing more than one kind of oxygen function; salts thereof"
"2922310000","2922 31","80","0.00%","","Amfepramone (INN); methadone (INN) and normethadone (INN); salts thereof"
"2922390000","2922 39","80","0.00%","","Other"
"2922410000","","10","","","Amino-acids; other than those containing more than one kind of oxygen function; and their esters; salts thereof"
"2922410000","2922 41","80","0.00%","","Lysine and its esters; salts thereof"
"2922420000","2922 42","80","0.00%","","Glutamic acid and its salts"
"2922430000","2922 43","80","0.00%","","Anthranilic acid and its salts"
"2922440000","2922 44","80","0.00%","","Tilidine (INN) and its salts"
"2922490000","2922 49","80","","","Other"
"2922492000","2922 49 20","80","0.00%","","ß-Alanine"
"2922498500","2922 49 85","80","0.00%","","Other"
"2922500000","2922 50","80","0.00%","","Amino-alcohol-phenols; amino-acid-phenols and other amino-compounds with oxygen function"
"2923000000","2923","80","","","Quaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids; whether or not chemically defined"
"2923100000","2923 10","80","0.00%","","Choline and its salts"
"2923200000","2923 20","80","0.00%","","Lecithins and other phosphoaminolipids"
"2923300000","2923 30","80","0.00%","","Tetraethylammonium perfluorooctane sulphonate"
"2923400000","2923 40","80","0.00%","","Didecyldimethylammonium perfluorooctane sulphonate"
"2923900000","2923 90","80","0.00%","","Other"
"2924000000","2924","80","","","Carboxyamide-function compounds; amide-function compounds of carbonic acid"
"2924110000","","10","","","Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof"
"2924110000","2924 11","80","0.00%","","Meprobamate (INN)"
"2924120000","2924 12","80","0.00%","","Fluoroacetamide (ISO); monocrotophos (ISO) and phosphamidon (ISO)"
"2924190000","2924 19","80","0.00%","","Other"
"2924210000","","10","","","Cyclic amides (including cyclic carbamates) and their derivatives; salts thereof"
"2924210000","2924 21","80","0.00%","","Ureines and their derivatives; salts thereof"
"2924230000","2924 23","80","0.00%","","2-Acetamidobenzoic acid (N-acetylanthranilic acid) and its salts"
"2924240000","2924 24","80","0.00%","","Ethinamate (INN)"
"2924250000","2924 25","80","0.00%","","Alachlor (ISO)"
"2924290000","2924 29","80","","","Other"
"2924291000","2924 29 10","80","0.00%","","Lidocaine (INN)"
"2924297000","2924 29 70","80","0.00%","","Other"
"2925000000","2925","80","","","Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds"
"2925110000","","10","","","Imides and their derivatives; salts thereof"
"2925110000","2925 11","80","0.00%","","Saccharin and its salts"
"2925120000","2925 12","80","0.00%","","Glutethimide (INN)"
"2925190000","2925 19","80","","","Other"
"2925192000","2925 19 20","80","0.00%","","3;3′;4;4′;5;5′;6;6′-Octabromo-N;N′-ethylenediphthalimide; N;N′-ethylenebis(4;5-dibromohexahydro-3;6-methanophthalimide)"
"2925199500","2925 19 95","80","0.00%","","Other"
"2925210000","","10","","","Imines and their derivatives; salts thereof"
"2925210000","2925 21","80","0.00%","","Chlordimeform (ISO)"
"2925290000","2925 29","80","0.00%","","Other"
"2926000000","2926","80","","","Nitrile-function compounds"
"2926100000","2926 10","80","0.00%","","Acrylonitrile"
"2926200000","2926 20","80","0.00%","","1-Cyanoguanidine (dicyandiamide)"
"2926300000","2926 30","80","0.00%","","Fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4;4-diphenylbutane)"
"2926400000","2926 40","80","0.00%","","alpha-Phenylacetoacetonitrile"
"2926900000","2926 90","80","","","Other"
"2926902000","2926 90 20","80","0.00%","","Isophthalonitrile"
"2926907000","2926 90 70","80","0.00%","","Other"
"2927000000","2927","80","0.00%","","Diazo-; azo- or azoxy-compounds"
"2928000000","2928","80","","","Organic derivatives of hydrazine or of hydroxylamine"
"2928001000","2928 00 10","80","0.00%","","N;N-Bis(2-methoxyethyl)hydroxylamine"
"2928009000","2928 00 90","80","0.00%","","Other"
"2929000000","2929","80","","","Compounds with other nitrogen function"
"2929100000","2929 10","80","0.00%","","Isocyanates"
"2929900000","2929 90","80","0.00%","","Other"
"2930000000","","10","","","X. ORGANO-INORGANIC COMPOUNDS; HETEROCYCLIC COMPOUNDS; NUCLEIC ACIDS AND THEIR SALTS; AND SULPHONAMIDES"
"2930000000","2930","80","","","Organo-sulphur compounds"
"2930200000","2930 20","80","0.00%","","Thiocarbamates and dithiocarbamates"
"2930300000","2930 30","80","0.00%","","Thiuram mono-; di- or tetrasulphides"
"2930400000","2930 40","80","","","Methionine"
"2930401000","2930 40 10","80","0.00%","","Methionine (INN)"
"2930409000","2930 40 90","80","0.00%","","Other"
"2930600000","2930 60","80","0.00%","","2-(N;N-Diethylamino)ethanethiol"
"2930700000","2930 70","80","0.00%","","Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN))"
"2930800000","2930 80","80","0.00%","","Aldicarb (ISO); Captafol (ISO) and methamidophos (ISO)"
"2930900000","2930 90","80","","","Other"
"2930901300","2930 90 13","80","0.00%","","Cysteine and cystine"
"2930901600","2930 90 16","80","0.00%","","Derivatives of cysteine or cystine"
"2930903000","2930 90 30","80","0.00%","","DL-2-hydroxy-4-(methylthio)butyric acid"
"2930904000","2930 90 40","80","0.00%","","2;2′-Thiodiethylbis[3-(3;5-di-tert-butyl-4-hydroxyphenyl)propionate]"
"2930905000","2930 90 50","80","0.00%","","Mixture of isomers consisting of 4-methyl-2;6-bis(methylthio)-m-phenylenediamine and 2-methyl-4;6-bis(methylthio)-m-phenylenediamine"
"2930909800","2930 90 98","80","0.00%","","Other"
"2931000000","2931","80","","","Other organo-inorganic compounds"
"2931100000","2931 10","80","0.00%","","Tetramethyl lead and tetraethyl lead"
"2931200000","2931 20","80","0.00%","","Tributyltin compounds"
"2931310000","","10","","","Other organo-phosphorous derivatives"
"2931310000","2931 31","80","0.00%","","Dimethyl methylphosphonate"
"2931320000","2931 32","80","0.00%","","Dimethyl propylphosphonate"
"2931330000","2931 33","80","0.00%","","Diethyl ethylphosphonate"
"2931340000","2931 34","80","0.00%","","Sodium 3-(trihydroxysilyl)propyl methylphosphonate"
"2931350000","2931 35","80","0.00%","","2;4;6-Tripropyl-1;3;5;2;4;6-trioxatriphosphinane 2;4;6-trioxide"
"2931360000","2931 36","80","0.00%","","(5-Ethyl-2-methyl-2-oxido-1;3;2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate"
"2931370000","2931 37","80","0.00%","","Bis[(5-ethyl-2-methyl-2-oxido-1;3;2-dioxaphosphinan-5-yl)methyl] methylphosphonate"
"2931380000","2931 38","80","0.00%","","Salt of methylphosphonic acid and (aminoiminomethyl)urea (1 : 1)"
"2931390000","2931 39","80","","","Other"
"2931392000","2931 39 20","80","0.00%","","Methylphosphonoyl difluoride (methylphosphonic difluoride)"
"2931393000","2931 39 30","80","0.00%","","Methylphosphonoyl dichloride (methylphosphonic dichloride)"
"2931395000","2931 39 50","80","0.00%","","Etidronic acid (INN) (1-hydroxyethane-1;1-diphosphonic acid) and its salts"
"2931396000","2931 39 60","80","0.00%","","(Nitrilotrimethanediyl)tris(phosphonic acid); {ethane-1;2-diylbis[nitrilobis(methylene)]}tetrakis(phosphonic acid); [(bis{2-[bis(phosphonomethyl)amino]ethyl}amino)methyl]phosphonic acid; {hexane-1;6-diylbis[nitrilobis(methylene)]}tetrakis(phosphonic acid); {[(2-hydroxyethyl)imino]bis(methylene)}bis(phosphonic acid); and [(bis{6-[bis(phosphonomethyl)amino]hexyl}amino)methyl]phosphonic acid; salts thereof"
"2931399000","2931 39 90","80","0.00%","","Other"
"2931900000","2931 90","80","0.00%","","Other"
"2932000000","2932","80","","","Heterocyclic compounds with oxygen hetero-atom(s) only"
"2932110000","","10","","","Compounds containing an unfused furan ring (whether or not hydrogenated) in the structure"
"2932110000","2932 11","80","0.00%","","Tetrahydrofuran"
"2932120000","2932 12","80","0.00%","","2-Furaldehyde (furfuraldehyde)"
"2932130000","2932 13","80","0.00%","","Furfuryl alcohol and tetrahydrofurfuryl alcohol"
"2932140000","2932 14","80","0.00%","","Sucralose"
"2932190000","2932 19","80","0.00%","","Other"
"2932200000","2932 20","80","","","Lactones"
"2932201000","2932 20 10","80","0.00%","","Phenolphthalein; 1-hydroxy-4-[1-(4-hydroxy-3-methoxycarbonyl-1-naphthyl)-3-oxo-1H;3H-benzo[de]isochromen-1-yl]-6-octadecyloxy-2-naphthoic acid; 3′-chloro-6′-cyclohexylaminospiro[isobenzofuran-1(3H);9′-xanthen]-3-one; 6′-(N-ethyl-p-toluidino)-2′-methylspiro[isobenzofuran-1(3H);9′-xanthen]-3-one; methyl-6-docosyloxy-1-hydroxy-4-[1-(4-hydroxy-3-methyl-1-phenanthryl)-3-oxo-1H;3H-naphtho[1;8-cd]pyran-1-yl]naphthalene-2-carboxylate"
"2932202000","2932 20 20","80","0.00%","","gamma-Butyrolactone"
"2932209000","2932 20 90","80","0.00%","","Other"
"2932910000","","10","","","Other"
"2932910000","2932 91","80","0.00%","","Isosafrole"
"2932920000","2932 92","80","0.00%","","1-(1;3-Benzodioxol-5-yl)propan-2-one"
"2932930000","2932 93","80","0.00%","","Piperonal"
"2932940000","2932 94","80","0.00%","","Safrole"
"2932950000","2932 95","80","0.00%","","Tetrahydrocannabinols (all isomers)"
"2932990000","2932 99","80","0.00%","","Other"
"2933000000","2933","80","","","Heterocyclic compounds with nitrogen hetero-atom(s) only"
"2933110000","","10","","","Compounds containing an unfused pyrazole ring (whether or not hydrogenated) in the structure"
"2933110000","2933 11","80","","","Phenazone (antipyrin) and its derivatives"
"2933111000","2933 11 10","80","0.00%","","Propyphenazone (INN)"
"2933119000","2933 11 90","80","0.00%","","Other"
"2933190000","2933 19","80","","","Other"
"2933191000","2933 19 10","80","0.00%","","Phenylbutazone (INN)"
"2933199000","2933 19 90","80","0.00%","","Other"
"2933210000","","10","","","Compounds containing an unfused imidazole ring (whether or not hydrogenated) in the structure"
"2933210000","2933 21","80","0.00%","","Hydantoin and its derivatives"
"2933290000","2933 29","80","","","Other"
"2933291000","2933 29 10","80","0.00%","","Naphazoline hydrochloride (INNM) and naphazoline nitrate (INNM); phentolamine (INN); tolazoline hydrochloride (INNM)"
"2933299000","2933 29 90","80","0.00%","","Other"
"2933310000","","10","","","Compounds containing an unfused pyridine ring (whether or not hydrogenated) in the structure"
"2933310000","2933 31","80","0.00%","","Pyridine and its salts"
"2933320000","2933 32","80","0.00%","","Piperidine and its salts"
"2933330000","2933 33","80","0.00%","","Alfentanil (INN); anileridine (INN); bezitramide (INN); bromazepam (INN); difenoxin (INN); diphenoxylate (INN); dipipanone (INN); fentanyl (INN); ketobemidone (INN); methylphenidate (INN); pentazocine (INN); pethidine (INN); pethidine (INN) intermediate A; phencyclidine (INN) (PCP); phenoperidine (INN); pipradrol (INN); piritramide (INN); propiram (INN) and trimeperidine (INN); salts thereof"
"2933390000","2933 39","80","","","Other"
"2933391000","2933 39 10","80","0.00%","","Iproniazid (INN); ketobemidone hydrochloride (INNM); pyridostigmine bromide (INN)"
"2933392000","2933 39 20","80","0.00%","","2;3;5;6-Tetrachloropyridine"
"2933392500","2933 39 25","80","0.00%","","3;6-Dichloropyridine-2-carboxylic acid"
"2933393500","2933 39 35","80","0.00%","","2-Hydroxyethylammonium-3;6-dichloropyridine-2-carboxylate"
"2933394000","2933 39 40","80","0.00%","","2-Butoxyethyl(3;5;6-trichloro-2-pyridyloxy)acetate"
"2933394500","2933 39 45","80","0.00%","","3;5-Dichloro-2;4;6-trifluoropyridine"
"2933395000","2933 39 50","80","0.00%","","Fluroxypyr (ISO); methyl ester"
"2933395500","2933 39 55","80","0.00%","","4-Methylpyridine"
"2933399900","2933 39 99","80","0.00%","","Other"
"2933410000","","10","","","Compounds containing in the structure a quinoline or isoquinoline ring-system (whether or not hydrogenated); not further fused"
"2933410000","2933 41","80","0.00%","","Levorphanol (INN) and its salts"
"2933490000","2933 49","80","","","Other"
"2933491000","2933 49 10","80","0.00%","","Halogen derivatives of quinoline; quinolinecarboxylic acid derivatives"
