HS8 (numeric),Description,General framework , General framework Country exclusions,Enhanced framework ,Least developed countries framework ,Transitional Protection Scheme ,,,,,,,,
30061090,STERILE SUTURE MATERIALS INCL. STERILE ABSORBABLE SURGICAL OR DENTAL YARNS (EXCL. CATGUT),,,,0%,0%,,,,,,,,
30062000,REAGENTS FOR DETERMINING BLOOD GROUPS OR BLOOD FACTORS(2002-2500),,,,0%,0%,,,,,,,,
30063000,OPACIFYING PREPARATIONS FOR X-RAY EXAMINATIONS,,,,0%,0%,,,,,,,,
30064000,DENTAL CEMENTS AND OTHER DENTAL FILLINGS,,,,0%,0%,,,,,,,,
30065000,FIRST-AID BOXES AND KITS(2002-2500),,,,0%,0%,,,,,,,,
30066000,CHEMICAL CONTRACEPTIVE PREPARATIONS BASED ON HORMONES PROSTAGLANDINS THROMBOXANES LEUKOTRIENES DERIVATIVES AND STRUCTURAL ANALOGUES THEREOF OR ON SPERMICIDES,,,,0%,0%,,,,,,,,
30067000,GEL PREPARATIONS DESIGNED TO BE USED  IN HUMAN OR VETERINARY MEDICINE AS A LUBRICANT FOR PARTS OF THE BODY FOR SURGICAL OPERATIONS OR PHYSICAL EXAMINATIONS OR AS A COUPLING AGENT BETWEEN THE BODY AND MEDICAL INSTRUMENTS,,,,0%,0%,,,,,,,,
30069100,APPLIANCES IDENTIFIABLE FOR OSTOMY USE,,,,0%,0%,,,,,,,,
30069200,WASTE PHARMACEUTICALS,,,,0%,0%,,,,,,,,
31010000,ANIMAL OR VEGETABLE FERTILISERS WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED,,,,0%,0%,,,,,,,,
31021010,UREA WHETHER OR NOT IN AQUEOUS SOLUTION CONTAINING > 45% NITROGEN IN RELATION TO THE WEIGHT OF THE DRY PRODUCT (EXCL. THAT IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31021090,UREA WHETHER OR NOT IN AQUEOUS SOLUTION CONTAINING <= 45% BY WEIGHT OF NITROGEN ON THE DRY ANHYDROUS PRODUCT (EXCL. GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31022100,AMMONIUM SULPHATE (EXCL. THAT IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31022900,DOUBLE SALTS AND MIXTURES OF AMMONIUM SULPHATE AND AMMONIUM NITRATE (EXCL. GOODS OF THIS CHAPTER IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31023010,AMMONIUM NITRATE IN AQUEOUS SOLUTION (EXCL. THAT IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31023090,AMMONIUM NITRATE (EXCL. THAT IN AQUEOUS SOLUTION IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31024010,MIXTURES OF AMMONIUM NITRATE WITH CALCIUM CARBONATE OR OTHER INORGANIC NON-FERTILISING SUBSTANCES FOR USE AS FERTILISERS CONTAINING <= 28% NITROGEN BY WEIGHT (EXCL. THOSE IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31024090,MIXTURES OF AMMONIUM NITRATE WITH CALCIUM CARBONATE OR OTHER INORGANIC NON-FERTILISING SUBSTANCES FOR USE AS FERTILISERS CONTAINING > 28% NITROGEN BY WEIGHT (EXCL. THOSE IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31025000,SODIUM NITRATE (EXCL. THAT  IN  PELLET OR SIMILAR FORMS OR IN PACKAGES  WITH  A GROSS WEIGHT OF <=10kg,0.0%,,0.0%,0%,0%,,,,,,,,
31026000,DOUBLE SALTS AND MIXTURES OF CALCIUM NITRATE AND AMMONIUM NITRATE (EXCL. THOSE IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31028000,MIXTURES OF UREA AND AMMONIUM NITRATE IN AQUEOUS OR AMMONIACAL SOLUTION (EXCL. THOSE IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,0.0%,0%,0%,,,,,,,,
31029000,MINERAL OR CHEMICAL NITROGEN FERTILISERS (EXCL. UREA,,,0.0%,0%,0%,,,,,,,,
31031100,"SUPERPHOSPHATES CONTAINING BY WEIGHT => 35 % OF DIPHOSPHORUS PENTAOXIDE ""P2O5"" (EXCL. SUCH PRODUCTS IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)",0.0%,,0.0%,0%,0%,,,,,,,,
31031900,SUPERPHOSPHATES (EXCL. SUCH PRODUCTS CONTAINING BY WEIGHT => 35 % OF DIPHOSPHORUS PENTAOXIDE OR IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31039000,MINERAL OR CHEMICAL PHOSPHATIC FERTILISERS (EXCL. SUPERPHOSPHATES THOSE IN PELLET OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(2007-2500),,,,0%,0%,,,,,,,,
31042010,POTASSIUM CHLORIDE CONTAINING <= 40% POTASSIUM MONOXIDE IN RELATION TO THE WEIGHT OF THE DRY PRODUCT (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,,0%,0%,,,,,,,,
31042050,POTASSIUM CHLORIDE CONTAINING > 40% BUT <= 62% POTASSIUM MONOXIDE IN RELATION TO THE WEIGHT OF THE DRY PRODUCT (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,,0%,0%,,,,,,,,
31042090,POTASSIUM CHLORIDE CONTAINING > 62% POTASSIUM MONOXIDE IN RELATION TO THE WEIGHT OF THE DRY PRODUCT (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,,0%,0%,,,,,,,,
31043000,POTASSIUM SULPHATE (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),,,,0%,0%,,,,,,,,
31049000,CARNALLITE SYLVITE AND OTHER CRUDE NATURAL POTASSIUM SALTS POTASSIUM MAGNESIUM SULPHATE AND MIXTURES OF POTASSIC FERTILISERS E.G. MIXTURES OF POTASSIUM CHLORIDE AND POTASSIUM SULPHATE (EXCL. THOSE IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(2007-2500),,,,0%,0%,,,,,,,,
31051000,MINERAL OR CHEMICAL FERTILISERS OF ANIMAL OR VEGETABLE ORIGIN IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG,3.0%,,0.0%,0%,0%,,,,,,,,
31052010,MINERAL OR CHEMICAL FERTILISERS CONTAINING PHOSPHORUS AND POTASSIUM WITH A NITROGEN CONTENT > 10 % BY WEIGHT ON THE DRY ANHYDROUS PRODUCT (EXCL. THOSE IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(2012-2500),3.0%,,0.0%,0%,0%,,,,,,,,
31052090,MINERAL OR CHEMICAL FERTILISERS CONTAINING NITROGEN PHOSPHORUS AND POTASSIUM WITH A NITROGEN CONTENT <= 10 % BY WEIGHT ON THE DRY ANHYDROUS PRODUCT (EXCL. THOSE IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(2012-2500),0.0%,,0.0%,0%,0%,,,,,,,,
31053000,"DIAMMONIUM HYDROGENORTHOPHOSPHATE ""DIAMMONIUM PHOSPHATE"" (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(1998-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
31054000,"AMMONIUM DIHYDROGENORTHOPHOSPHATE ""MONOAMMONIUM PHOSPHATE"" WHETHER OR NOT MIXED WITH DIAMMONIUM HYDROGENORTHOPHOSPHATE ""DIAMMONIUM PHOSPHATE"" (EXCL. THAT IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)(1998-2500)",0.0%,,0.0%,0%,0%,,,,,,,,
31055100,"MINERAL OR CHEMICAL FERTILISERS CONTAINING NITRATES AND PHOSPHATES (EXCL. AMMONIUM DIHYDROGENORTHOPHOSPHATE ""MONOAMMONIUM PHOSPHATE"" DIAMMONIUM HYDROGENORTHOPHOSPHATE ""DIAMMONIUM PHOSPHATE"" AND THOSE IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)",3.0%,,0.0%,0%,0%,,,,,,,,
31055900,"MINERAL OR CHEMICAL FERTILISERS CONTAINING THE TWO FERTILISING ELEMENTS NITROGEN (EXCL. NITRATE) AND PHOSPHORUS BUT NOT NITRATES (EXCL. AMMONIUM DIHYDROGENORTHOPHOSPHATE ""MONOAMMONIUM PHOSPHATE"" DIAMMONIUM HYDROGENORTHOPHOSPHATE ""DIAMMONIUM PHOSPHATE"" IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG)",3.0%,,0.0%,0%,0%,,,,,,,,
31056000,MINERAL OR CHEMICAL FERTILISERS CONTAINING THE TWO FERTILISING ELEMENTS PHOSPHORUS AND POTASSIUM (EXCL. THOSE IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
31059020,MINERAL OR CHEMICAL FERTILISERS CONTAINING THE TWO FERTILISING ELEMENTS NITROGEN AND POTASSIUM OR ONE PRINCIPAL FERTILISING SUBSTANCE ONLY INCL. MIXTURES OF ANIMAL OR VEGETABLE FERTILISERS WITH CHEMICAL OR MINERAL FERTILISERS CONTAINING > 10% NITROGEN BY WEIGHT (EXCL. IN TABLETS OR SIMILAR FORMS OR IN PACKAGES WITH A GROSS WEIGHT OF <= 10 KG),1.9%,,0.0%,0%,0%,,,,,,,,
31059080,MINERAL OR CHEMICAL FERTILISERS CONTAINING THE TWO FERTILISING ELEMENTS NITROGEN AND POTASSIUM OR ONE MAIN FERTILISING ELEMENT INCL. MIXTURES OF ANIMAL OR VEGETABLE FERTILISERS WITH CHEMICAL OR MINERAL FERTILISERS NOT CONTAINING NITROGEN OR WITH A NITROGEN CONTENT BY WEIGHT OF <= 10% (EXCL. IN TABLETS OR SIMILAR FORMS OR IN PACKAGES OF A GROSS WEIGHT OF <= 10 KG),0.0%,,0.0%,0%,0%,,,,,,,,
32011000,QUEBRACHO EXTRACT,0.0%,,0.0%,0%,0%,,,,,,,,
32012000,WATTLE EXTRACT,0.0%,,0.0%,0%,0%,,,,,,,,
32019020,SUMACH VALONEA OAK OR CHESTNUT EXTRACT,,,,0%,0%,,,,,,,,
32019090,TANNING EXTRACTS OF VEGETABLE ORIGIN,0.0%,,0.0%,0%,0%,,,,,,,,
32021000,SYNTHETIC ORGANIC TANNING SUBSTANCES,0.0%,,0.0%,0%,0%,,,,,,,,
32029000,INORGANIC TANNING SUBSTANCES,0.0%,,0.0%,0%,0%,,,,,,,,
32030010,DYES OF VEGETABLE ORIGIN INCL. DYE EXTRACTS WHETHER OR NOT CHEMICALLY DEFINED,0.0%,,0.0%,0%,0%,,,,,,,,
32030090,DYES OF ANIMAL ORIGIN INCL. DYE EXTRACTS BUT EXCL. ANIMAL BLACK WHETHER OR NOT CHEMICALLY DEFINED,0.0%,,0.0%,0%,0%,,,,,,,,
32041100,SYNTHETIC ORGANIC DISPERSE DYES,0.0%,,0.0%,0%,0%,,,,,,,,
32041200,SYNTHETIC ORGANIC ACID DYES WHETHER OR NOT METALLISED AND SYNTHETIC ORGANIC MORDANT DYES,0.0%,,0.0%,0%,0%,,,,,,,,
32041300,BASIC SYNTHETIC ORGANIC DYES,0.0%,,0.0%,0%,0%,,,,,,,,
32041400,DIRECT SYNTHETIC ORGANIC DYES,0.0%,,0.0%,0%,0%,,,,,,,,
32041500,SYNTHETIC ORGANIC VAT DYES INCL. THOSE USABLE IN THAT STATE AS PIGMENTS,0.0%,,0.0%,0%,0%,,,,,,,,
32041600,SYNTHETIC ORGANIC REACTIVE DYES,0.0%,,0.0%,0%,0%,,,,,,,,
32041700,SYNTHETIC ORGANIC PIGMENTS,0.0%,,0.0%,0%,0%,,,,,,,,
32041900,SYNTHETIC ORGANIC COLOURING MATTER (EXCL. DISPERSE DYES ACID DYES MORDANT DYES BASIC DYES DIRECT DYES VAT DYES AND REACTIVE DYES AND ORGANIC PIGMENTS),0.0%,,0.0%,0%,0%,,,,,,,,
32042000,SYNTHETIC ORGANIC PRODUCTS OF A KIND USED AS FLUORESCENT BRIGHTENING AGENTS WHETHER OR NOT CHEMICALLY DEFINED,0.0%,,0.0%,0%,0%,,,,,,,,
32049000,SYNTHETIC ORGANIC PRODUCTS OF A KIND USED AS LUMINOPHORES WHETHER OR NOT CHEMICALLY DEFINED,0.0%,,0.0%,0%,0%,,,,,,,,
32050000,COLOUR LAKES (OTHER THAN CHINESE OR JAPANESE LACQUER AND PAINTS),0.0%,,0.0%,0%,0%,,,,,,,,
32061100,PIGMENTS AND PREPARATIONS BASED ON TITANIUM DIOXIDE OF A KIND USED FOR COLOURING ANY MATERIAL OR PRODUCE COLORANT PREPARATIONS CONTAINING >= 80% BY WEIGHT OF TITANIUM DIOXIDE CALCULATED ON THE DRY MATTER (EXCL. PREPARATIONS OF HEADING 32073208320932103212 3213 AND 3215),0.0%,,0.0%,0%,0%,,,,,,,,
32061900,PIGMENTS AND PREPARATIONS BASED ON TITANIUM DIOXIDE OF A KIND USED FOR COLOURING ANY MATERIAL OR PRODUCE COLORANT PREPARATIONS CONTAINING < 80% BY WEIGHT OF TITANIUM DIOXIDE CALCULATED ON THE DRY MATTER (EXCL. PREPARATIONS OF HEADING 32073208320932103212 3213 AND 3215),0.0%,,0.0%,0%,0%,,,,,,,,
32062000,PIGMENTS AND PREPARATIONS OF A KIND USED FOR COLOURING ANY MATERIAL OR USED AS INGREDIENTS IN THE MANUFACTURE OF COLOURING PREPARATIONS BASED ON CHROMIUM COMPOUNDS (EXCL. PREPARATIONS OF HEADINGS 32073208320932103212 3213 AND 3215),0.0%,,0.0%,0%,0%,,,,,,,,
32064100,ULTRAMARINE AND PREPARATIONS BASED THEREON OF A KIND USED FOR COLOURING ANY MATERIAL OR PRODUCE COLORANT PREPARATIONS (EXCL. PREPARATIONS OF HEADING 3207320832093210 3213 AND 3215),0.0%,,0.0%,0%,0%,,,,,,,,
32064200,LITHOPONE AND OTHER PIGMENTS AND PREPARATIONS BASED ON ZINC SULPHIDE OF A KIND USED FOR COLOURING ANY MATERIAL OR PRODUCE COLORANT PREPARATIONS (EXCL. PREPARATIONS OF HEADING 3207320832093210 3213 AND 3215),0.0%,,0.0%,0%,0%,,,,,,,,
32064910,MAGNETITE FINE-GROUND,0.0%,,0.0%,0%,0%,,,,,,,,
32064970,INORGANIC OR MINERAL COLOURING MATTER N.E.S.,0.0%,,0.0%,0%,0%,,,,,,,,
32065000,INORGANIC PRODUCTS OF A KIND USED AS LUMINOPHORES WHETHER OR NOT CHEMICALLY DEFINED,0.0%,,0.0%,0%,0%,,,,,,,,
32071000,PREPARED PIGMENTS PREPARED OPACIFIERS PREPARED COLOURS AND SIMILAR PREPARATIONS OF A KIND USED IN THE CERAMIC ENAMELLING OR GLASS INDUSTRY,0.0%,,0.0%,0%,0%,,,,,,,,
32072010,"ENGOBES ""SLIPS""",0.0%,,0.0%,0%,0%,,,,,,,,
32072090,VITRIFIABLE ENAMELS AND GLAZES AND SIMILAR PREPARATIONS (EXCL. ENGLOBES),0.0%,,0.0%,0%,0%,,,,,,,,
32073000,LIQUID LUSTRES AND SIMILAR PREPARATIONS OF THE KIND USED IN THE CERAMIC ENAMELLING OR GLASS INDUSTRY,0.0%,,0.0%,0%,0%,,,,,,,,
32074040,GLASS IN THE FORM OF FLAKES OF A LENGTH OF >= 01 MM BUT <= 35 MM AND OF A THICKNESS OF >= 2 MICROMETRES BUT <= 5 MICROMETRES AND GLASS IN THE FORM OF POWDER OR GRANULES CONTAINING BY WEIGHT >= 99% OF SILICON DIOXIDE (EXCL. ENAMEL GLASS),0.0%,,0.0%,0%,0%,,,,,,,,
32074085,GLASS FRIT AND OTHER GLASS IN THE FORM OF POWDER GRANULES OR FLAKES (EXCL. GLASS IN THE FORM OF FLAKES OF A LENGTH OF >= 01 MM BUT <= 35 MM AND OF A THICKNESS OF >= 2 BUT <= 5 MICROMETRES AND GLASS IN THE FORM OF POWDER OR GRANULES CONTAINING BY WEIGHT >= 99% OF SILICON DIOXIDE),0.0%,,0.0%,0%,0%,,,,,,,,
32081010,POLYESTER-BASED SOLUTIONS IN VOLATILE ORGANIC SOLVENTS CONTAINING > 50% SOLVENT BY WEIGHT,0.0%,,0.0%,0%,0%,,,,,,,,
32081090,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON POLYESTERS DISPERSED OR DISSOLVED IN A NON-AQUEOUS MEDIUM,0.0%,,0.0%,0%,0%,,,,,,,,
32082010,SOLUTIONS BASED ON ACRYLIC OR VINYL POLYMERS IN VOLATILE ORGANIC SOLVENTS CONTAINING > 50% SOLVENT BY WEIGHT,0.0%,,0.0%,0%,0%,,,,,,,,
32082090,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON ACRYLIC OR VINYL POLYMERS DISPERSED OR DISSOLVED IN A NON-AQUEOUS MEDIUM,0.0%,,0.0%,0%,0%,,,,,,,,
32089011,"POLYURETHANE OF 22'-""TERT-BUTYLIMINO""DIETHANOL AND 44'-METHYLENEDICYCLOHEXYL DIISOCYANATE IN THE FORM OF A SOLUTION IN NN-DIMETHYLACETAMIDE CONTAINING BY WEIGHT >= 48% BUT < 50% OF POLYMER",0.0%,,0.0%,0%,0%,,,,,,,,
32089013,COPOLYMER OF P-CRESOL AND DIVINYLBENZENE IN THE FORM OF A SOLUTION IN NN-DIMETHYLACETAMIDE CONTAINING BY WEIGHT >= 48% BUT < 50% OF POLYMER,0.0%,,0.0%,0%,0%,,,,,,,,
32089019,"SOLUTIONS OF PRODUCTS OF HEADINGS 3901 TO 3913 IN VOLATILE ORGANIC SOLVENTS CONTAINING > 50% SOLVENT BY WEIGHT (EXCL. POLYESTERS ACRYLIC OR VINYL POLYMERS AND COLLODION AND POLYURETHANE OF 22'-""TERT-BUTYLIMINO""DIETHANOL AND 44'-METHYLENEDICYCLOHEXYL DIISOCYANATE AND COPOLYMER OF P-CRESOL AND DIVINYLBENZENE BOTH IN THE FORM OF A SOLUTION IN NN-DIMETHYLACETAMIDE CONTAINING BY WEIGHT >= 48% OF POLYMER)",0.0%,,0.0%,0%,0%,,,,,,,,
32089091,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON SYNTHETIC POLYMERS DISPERSED OR DISSOLVED IN A NON-AQUEOUS MEDIUM (EXCL. THOSE BASED ON POLYESTERS AND ACRYLIC OR VINYL POLYMERS),0.0%,,0.0%,0%,0%,,,,,,,,
32089099,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON CHEMICALLY MODIFIED NATURAL POLYMERS DISPERSED OR DISSOLVED IN A NON-AQUEOUS MEDIUM,0.0%,,0.0%,0%,0%,,,,,,,,
32091000,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON ACRYLIC OR VINYL POLYMERS DISPERSED OR DISSOLVED IN AN AQUEOUS MEDIUM,0.0%,,0.0%,0%,0%,,,,,,,,
32099000,PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS BASED ON SYNTHETIC OR CHEMICALLY MODIFIED NATURAL POLYMERS DISPERSED OR DISSOLVED IN AN AQUEOUS MEDIUM (EXCL. THOSE BASED ON ACRYLIC OR VINYL POLYMERS),0.0%,,0.0%,0%,0%,,,,,,,,
32100010,OIL PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS,0.0%,,0.0%,0%,0%,,,,,,,,
32100090,PAINTS AND VARNISHES INCL. ENAMELS LACQUERS AND DISTEMPERS (EXCL. THOSE BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS OIL PAINTS AND VARNISHES INCL. ENAMELS AND LACQUERS),0.0%,,0.0%,0%,0%,,,,,,,,
32110000,PREPARED DRIERS,0.0%,,0.0%,0%,0%,,,,,,,,
32121000,STAMPING FOILS OF A KIND USED IN THE PRINTING OF BOOK BINDINGS OR HATBAND LEATHER,0.0%,,0.0%,0%,0%,,,,,,,,
32129000,PIGMENTS INCL. METALLIC POWDERS AND FLAKES DISPERSED IN NON-AQUEOUS MEDIA IN LIQUID OR PASTE FORM OF A KIND USED IN THE MANUFACTURE OF PAINTS,0.0%,,0.0%,0%,0%,,,,,,,,
32131000,SETS OF ARTIST'S STUDENT'S OR SIGNBOARD PAINTER'S COLOURS MODIFYING TINTS AMUSEMENT COLOURS AND THE LIKE IN TABLETS TUBES JARS BOTTLES PANS OR SIMILAR PACKAGES,0.0%,,0.0%,0%,0%,,,,,,,,
32139000,ARTIST'S STUDENT'S OR SIGNBOARD PAINTER'S COLOURS MODIFYING TINTS AMUSEMENT COLOURS AND THE LIKE IN TABLETS TUBES JARS BOTTLES PANS OR SIMILAR PACKAGES (EXCL. THOSE IN SETS),0.0%,,0.0%,0%,0%,,,,,,,,
32141010,GLAZIERS' PUTTY GRAFTING PUTTY RESIN CEMENTS CAULKING COMPOUNDS AND OTHER MASTICS,0.0%,,0.0%,0%,0%,,,,,,,,
32141090,PAINTER'S FILLINGS,0.0%,,0.0%,0%,0%,,,,,,,,
32149000,NON-REFRACTORY SURFACING PREPARATIONS FOR FACADES INSIDE WALLS FLOORS CEILINGS AND THE LIKE,0.0%,,0.0%,0%,0%,,,,,,,,
32151100,Black printing ink whether or not concentrated or solid (2018-2500),0.0%,,0.0%,0%,0%,,,,,,,,
32151900,Printing ink whether or not concentrated or solid (excl. black ink) (2018-2500),0.0%,,0.0%,0%,0%,,,,,,,,
32159020,INK CARTRIDGES FOR PRINTERS/COPIERS WITHOUT AN INTEGRATED PRINT HEAD INCORPORATING MECHANICAL OR ELECTRICAL COMPONENTS AND SOLID INK IN ENGINEERED SHAPES FOR PRINTERS/COPIERS,0.0%,,0.0%,0%,0%,,,,,,,,
32159070,INK WHETHER OR NOT CONCENTRATED OR SOLID (EXCL. PRINTING INK PRINTER/COPIER INK CARTRIDGES INCORPORATING MECHANICAL OR ELECTRICAL COMPONENTS AND SOLID INK IN ENGINEERED SHAPES FOR PRINTERS/COPIERS),0.0%,,0.0%,0%,0%,,,,,,,,
33011210,TERPENIC OILS OF SWEET AND BITTER ORANGE INCL. CONCRETES AND ABSOLUTES (EXCL. ORANGE-FLOWER OIL),0.0%,,0.0%,0%,0%,,,,,,,,
33011290,TERPENELESS OILS OF SWEET AND BITTER ORANGE INCL. CONCRETES AND ABSOLUTES (EXCL. ORANGE-FLOWER OIL),0.0%,,0.0%,0%,0%,,,,,,,,
33011310,TERPENIC ESSENTIAL OILS OF LEMON INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33011390,TERPENELESS OILS OF LEMON INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33011920,TERPENIC ESSENTIAL OILS OF CITRUS FRUIT INCL. CONCRETES AND ABSOLUTES (EXCL. THOSE OF SEET AND BITTER ORANGE AND LEMON),0.0%,,0.0%,0%,0%,,,,,,,,
33011980,TERPENELESS ESSENTIAL OILS OF CITRUS FRUIT INCL. CONCRETES AND ABSOLUTES (EXCL. THOSE OF SWEET AND BITTER ORANGE AND LEMON),0.0%,,0.0%,0%,0%,,,,,,,,
33012410,"TERPENIC OILS OF PEPPERMINT ""MENTHA PIPERITA"" INCL. CONCRETES AND ABSOLUTES",0.0%,,0.0%,0%,0%,,,,,,,,
33012490,"TERPENELESS OILS OF PEPPERMINT ""MENTHA PIPERITA"" INCL. CONCRETES AND ABSOLUTES",0.0%,,0.0%,0%,0%,,,,,,,,
33012510,"TERPENIC OILS OF MINTS INCL. CONCRETES AND ABSOLUTES (EXCL. THOSE OF PEPPERMINT ""MENTHA PIPERITA"")",0.0%,,0.0%,0%,0%,,,,,,,,
33012590,"TERPENELESS OILS OF MINTS INCL. CONCRETES AND ABSOLUTES (EXCL. THOSE OF PEPPERMINT ""MENTHA PIPERITA"")",0.0%,,0.0%,0%,0%,,,,,,,,
33012911,TERPENIC OILS OF CLOVE NIAOULI AND YLANG-YLANG INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33012931,TERPENELESS OILS OF CLOVE NIAOULI AND YLANG-YLANG INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33012941,ESSENTIAL OILS NOT DETERPENATED INCL. CONCRETES AND ABSOLUTES (EXCEPT OF CITRUS FRUIT MINT CLOVE NIAOULI AND YLANG-YLANG),0.0%,,0.0%,0%,0%,,,,,,,,
33012971,TERPENELESS OILS OF GERANIUM JASMINE AND VETIVER INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33012979,TERPENELESS OILS OF LAVENDER OR OF LAVANDIN INCL. CONCRETES AND ABSOLUTES,0.0%,,0.0%,0%,0%,,,,,,,,
33012991,TERPENELESS ESSENTIAL OILS INCL. CONCRETES AND ABSOLUTES (EXCL. OF CITRUS FRUIT GERANIUM JASMINE LAVENDER OR OF LAVANDIN MINT VETIVER CLOVE NIAOULI AND YLANG-YLANG),0.0%,,0.0%,0%,0%,,,,,,,,
33013000,RESINOIDS,0.0%,,0.0%,0%,0%,,,,,,,,
33019010,TERPENIC BY-PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS,0.0%,,0.0%,0%,0%,,,,,,,,
33019021,EXTRACTED OLEORESINS OF LIQUORICE AND HOPS,0.0%,,0.0%,0%,0%,,,,,,,,
33019030,EXTRACTED OLEORESINS OF QUASSIA WOOD ALOE MANNA AND OTHER PLANTS (EXCL. VANILLA LIQUORICE AND HOPS),0.0%,,0.0%,0%,0%,,,,,,,,
33019090,CONCENTRATES OF ESSENTIAL OILS IN FATS FIXED OILS WAXES OR THE LIKE OBTAINED BY ENFLEURAGE OR MACERATION,0.0%,,0.0%,0%,0%,,,,,,,,
33021010,PREPARATIONS BASED ON ODORIFEROUS SUBSTANCES CONTAINING ALL FLAVOURING AGENTS CHARACTERIZING A BEVERAGE OF AN ACTUAL ALCOHOLIC STRENGTH OF > 05% VOL OF A KIND USED IN THE DRINK INDUSTRIES,0.0%,,0.0%,0%,0%,,,,,,,,
